+-----------------------------------+----------------+
|               name                | LENGTH(p.name) |
+-----------------------------------+----------------+
| 'Beatle' Bob Matonis              | 20             |
| 'Hurricane Ryu' Hariken           | 23             |
| 'Pink' Francis                    | 14             |
| 'Víbora' Larralde                 | 17             |
| 42nd Street Pete                  | 16             |
| A. Panneeirchelvam                | 18             |
| A.J. Alexander                    | 14             |
| A.J. Buckley                      | 12             |
| A.J. Khan                         | 9              |
| A.K. Hangal                       | 11             |
| Aachi Manorama                    | 14             |
| Aachi Manorama                    | 14             |
| Aachi Manorama                    | 14             |
| Aage Nost                         | 9              |
| Aakash                            | 6              |
| Aamani                            | 6              |
| Aamani                            | 6              |
| Aamani                            | 6              |
| Aanand Kale                       | 11             |
| Aanandee Tripathi                 | 17             |
| Aaro Koiso-Kanttila               | 19             |
| Aaron Ashmore                     | 13             |
| Aaron Baggaley                    | 14             |
| Aaron Barnes                      | 12             |
| Aaron Benoit                      | 12             |
| Aaron Blabey                      | 12             |
| Aaron Boyum                       | 11             |
| Aaron Cullers                     | 13             |
| Aaron Duffey                      | 12             |
| Aaron Dunn                        | 10             |
| Aaron Eckhart                     | 13             |
| Aaron Gaffey                      | 12             |
| Aaron Garrett                     | 13             |
| Aaron Goodwin                     | 13             |
| Aaron Hendren                     | 13             |
| Aaron Kleven                      | 12             |
| Aaron Kwok                        | 10             |
| Aaron Kwok                        | 10             |
| Aaron Maté                        | 10             |
| Aaron McNally                     | 13             |
| Aaron Pedersen                    | 14             |
| Aaron Ruell                       | 11             |
| Aaron Sims                        | 10             |
| Aaron Stanford                    | 14             |
| Aaron Taylor-Johnson              | 20             |
| Aaron Waugh                       | 11             |
| Aaron Wilson                      | 12             |
| Aarthi Agarwal                    | 14             |
| Aarthi Agarwal                    | 14             |
| Aarthi Agarwal                    | 14             |
| Aarti Puri                        | 10             |
| Aasheekaa Bathija                 | 17             |
| Aashif Sheikh                     | 13             |
| Aashish Chaudhary                 | 17             |
| Aashish Chaudhary                 | 17             |
| Aashish Chaudhary                 | 17             |
| Aashish Khan                      | 12             |
| Abbas                             | 5              |
| Abbas                             | 5              |
| Abbas                             | 5              |
| Abbas                             | 5              |
| Abbas                             | 5              |
| Abbas                             | 5              |
| Abbas                             | 5              |
| Abbas Esfandiari                  | 16             |
| Abbas Kiarostami                  | 16             |
| Abbey Lessanu                     | 13             |
| Abbie Cornish                     | 13             |
| Abbie Osmon                       | 11             |
| Abbo Assiya                       | 11             |
| Abby Ball                         | 9              |
| Abby Lee                          | 8              |
| Abby Wathen                       | 11             |
